"id","parcel_apn","sthsnum","ststname","stsuffix","stcity","ststate","stzip"
119923335,"127 077-020-000","1A","ROUTE 37","CTR","SHERMAN","CT","06784"
9217004,"127 077-020-000","1A","ROUTE 37","CTR","SHERMAN","CT","06784"
119956657,"127 009-064-000","84A","ROUTE 37","","SHERMAN","CT","06784"
9273131,"127 009-064-000","84A","ROUTE 37","","SHERMAN","CT","06784"
208380279,"127 076-062-000","32","HOLIDAY POINT","RD","SHERMAN","CT","06784"
119957642,"127 076-062-000","32","HOLIDAY POINT","RD","SHERMAN","CT","06784"
9278911,"127 076-062-000","32","HOLIDAY POINT","RD","SHERMAN","CT","06784"
119969657,"127 073-022-000","18","CEDAR LANE","EXT","SHERMAN","CT","06784"
9289755,"127 073-022-000","18","CEDAR LANE","EXT","SHERMAN","CT","06784"
208421611,"091 27 2 1.18 (18)","2A","BALL POND","RD","NEW FAIRFIELD","CT","06812"
119963704,"091 27 2 1.18 (18)","2A","BALL POND","RD","NEW FAIRFIELD","CT","06812"
9325041,"091 27 2 1.18 (18)","2A","BALL POND","RD","NEW FAIRFIELD","CT","06812"
208450350,"091 18 1 5","10A","FAWN CREST","DR","NEW FAIRFIELD","CT","06812"
119968185,"091 18 1 5","10A","FAWN CREST","DR","NEW FAIRFIELD","CT","06812"
9338219,"091 18 1 5","10A","FAWN CREST","DR","NEW FAIRFIELD","CT","06812"
207326133,"091 23 9 17.2 & 18","1","GILLOTTI","RD","NEW FAIRFIELD","CT","06812"
119790371,"091 23 9 17.2 & 18","1","GILLOTTI","RD","NEW FAIRFIELD","CT","06812"
9112261,"091 23 9 17.2 & 18","1","GILLOTTI","RD","NEW FAIRFIELD","CT","06812"
207932430,"034 C050340000","96A","BALL POND","RD","DANBURY","CT","06811"
119887801,"034 C050340000","96A","BALL POND","RD","DANBURY","CT","06811"
9182956,"034 C050340000","96A","BALL POND","RD","DANBURY","CT","06811"
207035170,"034 B060270000","124A","KING","ST","DANBURY","CT","06811"
119743469,"034 B060270000","124A","KING","ST","DANBURY","CT","06811"
9061329,"034 B060270000","124A","KING","ST","DANBURY","CT","06811"
207939429,"034 D080210000","7","JUDITH","DR","DANBURY","CT","06811"
119888965,"034 D080210000","7","JUDITH","DR","DANBURY","CT","06811"
9206858,"034 D080210000","7","JUDITH","DR","DANBURY","CT","06811"
208028399,"034 E060390000","49A","LAKE","RD","DANBURY","CT","06811"
119902756,"034 E060390000","49A","LAKE","RD","DANBURY","CT","06811"
9225675,"034 E060390000","49A","LAKE","RD","DANBURY","CT","06811"
9265591,"034 F080500000","90","CLAPBOARD RIDGE","RD","DANBURY","CT","06811"
119952514,"034 F080500000","90","CLAPBOARD RIDGE","RD","DANBURY","CT","06811"
208344374,"034 F080500000","90","CLAPBOARD RIDGE","RD","DANBURY","CT","06811"
207516713,"034 F090330000","76","CLAPBOARD RIDGE","RD","DANBURY","CT","06811"
119822249,"034 F090330000","76","CLAPBOARD RIDGE","RD","DANBURY","CT","06811"
9148458,"034 F090330000","76","CLAPBOARD RIDGE","RD","DANBURY","CT","06811"
207642883,"034 G090120000","91","CLAPBOARD RIDGE","RD","DANBURY","CT","06811"
119842190,"034 G090120000","91","CLAPBOARD RIDGE","RD","DANBURY","CT","06811"
9163785,"034 G090120000","91","CLAPBOARD RIDGE","RD","DANBURY","CT","06811"
208500581,"034 D130400000","87A","DRIFTWAY","RD","DANBURY","CT","06811"
119975897,"034 D130400000","87A","DRIFTWAY","RD","DANBURY","CT","06811"
9352098,"034 D130400000","87A","DRIFTWAY","RD","DANBURY","CT","06811"
208525519,"034 D130640000","60","DRIFTWAY","RD","DANBURY","CT","06811"
119980075,"034 D130640000","60","DRIFTWAY","RD","DANBURY","CT","06811"
9357332,"034 D130640000","60","DRIFTWAY","RD","DANBURY","CT","06811"
206942774,"034 D140610000","42","DRIFTWAY","RD","DANBURY","CT","06811"
119726949,"034 D140610000","42","DRIFTWAY","RD","DANBURY","CT","06811"
9033236,"034 D140610000","42","DRIFTWAY","RD","DANBURY","CT","06811"
207725099,"034 C140620000","103","MILL PLAIN","RD","DANBURY","CT","06811"
119854972,"034 C140620000","103","MILL PLAIN","RD","DANBURY","CT","06811"
9117787,"034 C140620000","103","MILL PLAIN","RD","DANBURY","CT","06811"
209120812,"034 F140990000","8","SCUPPO","RD","DANBURY","CT","06811"
120074147,"034 F140990000","8","SCUPPO","RD","DANBURY","CT","06811"
9204648,"034 F140990000","8","SCUPPO","RD","DANBURY","CT","06811"
207145900,"118 E13-0068","24","NORTH","ST","RIDGEFIELD","CT","06877"
119761039,"118 E13-0068","24","NORTH","ST","RIDGEFIELD","CT","06877"
9059568,"118 E13-0068","24","NORTH","ST","RIDGEFIELD","CT","06877"
207555248,"118 E14-0027","4","RAMAPOO","RD","RIDGEFIELD","CT","06877"
119828417,"118 E14-0027","4","RAMAPOO","RD","RIDGEFIELD","CT","06877"
9125972,"118 E14-0027","4","RAMAPOO","RD","RIDGEFIELD","CT","06877"
207730123,"118 E15-0111","33","CATOONAH","ST","RIDGEFIELD","CT","06877"
119855770,"118 E15-0111","33","CATOONAH","ST","RIDGEFIELD","CT","06877"
9152476,"118 E15-0111","33","CATOONAH","ST","RIDGEFIELD","CT","06877"
207805512,"118 E15-0107","39B","CATOONAH","ST","RIDGEFIELD","CT","06877"
